Time: 2023-06-14 05:02:23
gender,age,bodyType,profession,pregnant,species,isPet
scenario:flood,Simulation,,,,,,
location:68.4122 N;160.3782 W;trespassing,,,,,,,
human,male,65,overweight,homeless,false,,
animal,male,10,athletic,,,lion,false
human,female,85,athletic,NONE,false,,
animal,female,8,average,,,koala,false
human,male,10,overweight,NONE,false,,
human,male,27,overweight,professor,false,,
human,male,93,average,NONE,false,,
location:7.7169 S;122.0699 W;legal,,,,,,,
animal,female,2,overweight,,,wallaby,false
human,male,80,average,NONE,false,,
location:42.6288 N;95.0904 E;trespassing,,,,,,,
animal,male,7,average,,,lion,true
animal,male,10,overweight,,,cat,true
human,female,67,athletic,athletic,false,,
human,male,40,athletic,professor,false,,
location:83.5385 S;17.9175 E;legal,true,,,,,,
human,female,18,overweight,ceo,false,,
animal,male,3,overweight,,,wallaby,true
animal,female,6,average,,,koala,true
human,female,62,average,none,false,,
human,female,0,average,NONE,false,,
animal,male,7,athletic,,,wallaby,false
animal,male,12,athletic,,,puppy,false
location:71.6122 S;116.0910 W;trespassing,,,,,,,
human,female,45,overweight,ceo,false,,
animal,female,12,average,,,dingo,true
animal,male,3,athletic,,,snake,true
human,female,89,average,NONE,false,,
animal,female,5,average,,,lion,true

Time: 2023-06-14 05:02:23
gender,age,bodyType,profession,pregnant,species,isPet
scenario:meteorite,Simulation,,,,,,
location:33.7783 S;23.1146 W;trespassing,,,,,,,
human,male,29,average,none,false,,
animal,female,6,average,,,snake,true
animal,female,6,overweight,,,platypus,true
human,female,11,average,NONE,false,,
location:35.4315 N;63.1610 W;legal,true,,,,,,
human,male,60,average,ceo,false,,
human,female,89,overweight,NONE,false,,
human,female,52,overweight,ceo,false,,
animal,female,0,overweight,,,cat,true
human,female,59,overweight,ceo,false,,

Time: 2023-06-14 05:02:23
gender,age,bodyType,profession,pregnant,species,isPet
scenario:bushfire,Simulation,,,,,,
location:66.2119 S;108.7792 W;legal,,,,,,,
animal,male,11,average,,,lion,false
human,female,66,average,professor,false,,
animal,male,3,athletic,,,lion,true
animal,female,14,average,,,puppy,false
location:72.9441 N;7.8315 E;legal,,,,,,,
human,female,13,overweight,NONE,false,,
animal,male,14,athletic,,,cat,true
location:43.3141 N;73.2841 W;legal,true,,,,,,
animal,female,12,athletic,,,dog,true
animal,female,4,average,,,platypus,false
animal,female,9,average,,,wallaby,true
animal,male,9,athletic,,,snake,false
animal,male,8,athletic,,,snake,true
animal,male,5,average,,,wallaby,false
human,male,73,overweight,NONE,false,,
location:72.0524 N;82.8480 W;legal,,,,,,,
animal,female,10,average,,,snake,true
human,male,22,athletic,none,false,,
location:30.8996 N;151.7962 E;legal,,,,,,,
human,male,73,average,NONE,false,,
human,female,98,athletic,NONE,false,,
animal,male,3,average,,,dog,true
animal,female,0,average,,,koala,false

Time: 2023-06-14 05:07:19
gender,age,bodyType,profession,pregnant,species,isPet
scenario:earthquake,Simulation,,,,,,
location:37.5589 S;35.2051 W;trespassing,,,,,,,
animal,female,4,athletic,,,platypus,false
location:31.0533 N;165.8395 E;legal,,,,,,,
human,male,80,athletic,NONE,false,,
human,male,83,overweight,NONE,false,,
animal,female,10,average,,,snake,false
